ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
1551666847,Cold Ridge,Carla Neggers,2003,Mira
1565123638,The Last Girls (Shannon Ravenel Books (Hardcover)),Lee Smith,2002,Algonquin Books of Chapel Hill
051513239X,The Music of the Spheres,Elizabeth Redfern,2002,Jove Books
8445071416,El Hobbit,J. R. R. Tolkien,1991,Minotauro
3462032283,ZwÃ?Â¶lf.,Nick McDonell,2003,Kiepenheuer &amp; Witsch
042518000X,Nursery Crimes (Mommy-Track Mysteries (Paperback)),Ayelet Waldman,2001,Berkley Publishing Group
067941388X,The Silent Passage: Menopause,Gail Sheehy,1992,Random House Inc
044023719X,The Triumph of Katie Byrne,Barbara Taylor Bradford,2001,Island
031208188X,Every Living Thing,James Herriot,1992,St. Martin's Press
067978120X,Chasing Cezanne,Peter Mayle,1998,Vintage Books USA
8423310353,El Camino (Coleccion Destinolibro),Miguel Delibes,1991,Continental Book Company
1853260320,Mansfield Park (Wordsworth Collection),Jane Austen,1998,Wordsworth Editions Ltd
055357910X,Meg,Steve Alten,1998,Bantam Books
3453150538,Weit wie das Meer.,Nicholas Sparks,1999,Heyne
2070416801,Balzac Et LA Petite Tailleuse Chino,Daj Sijie,2002,Gallimard Jeunesse
044022859X,Holes (Readers Circle),LOUIS SACHAR,2001,Laurel Leaf
078688097X,Inner Simplicity : 100 Ways to Regain Peace and Nourish Your Souls,Elaine St. James,1995,Hyperion
067091021X,Year of Wonders: A Novel of the Plague,Geraldine Brooks,2001,Viking Books
042517400X,"Night Moves (Tom Clancy's Net Force, No. 3)",Tom Clancy,2000,Berkley Publishing Group
1573220221,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1996,Riverhead Books
1580628362,Please Stop Laughing at Me: One Woman's Inspirational Story,Jodee Blanco,2003,Adams Media Corporation
1558745432,A 5th Portion of Chicken Soup for the Soul : 101 Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1998,Health Communications
074341022X,Dark Hollow,John Connolly,2002,Pocket
034544177X,All Souls: A Family Story from Southie (Ballantine Reader's Circle),Michael Patrick MacDonald,2000,Ballantine Books
076790284X,Bella Tuscany : The Sweet Life in Italy,FRANCES MAYES,2000,Broadway
006440188X,The Secret Garden,Frances Hodgson Burnett,1998,HarperTrophy
044661095X,Killing Time,Caleb Carr,2002,Warner Books
1400031699,The Little Friend,Donna Tartt,2003,Vintage
1560761555,Vampire of the Mists (Ravenloft Books),Christie Golden,1991,Wizards of the Coast
067173590X,SECRET DIARY OF LAURA PALMER (TWIN PEAKS) (A Twin Peaks Book),Jennifer Lynch,1990,Pocket
037541326X,Ash Wednesday,ETHAN HAWKE,2002,Knopf
1573225843,The Cloister Walk,Kathleen Norris,1997,Riverhead Books
1551666103,The Mistress,Susan Wiggs,2000,Mira
1551668378,Halfway To Heaven,Susan Wiggs,2001,Mira
1853260789,MADAME BOVARY,Gustave Flaubert,1998,NTC/Contemporary Publishing Company
006000925X,Daisy's Back in Town,Rachel Gibson,2004,Avon
1551667002,Skyward,Mary Alice Monroe,2003,Mira Books
037322706X,Phantom Lover  (43 Light Street),Rebecca York,2003,Harlequin
044020271X,Tapestry,Belva Plain,1989,Dell
1551666561,Letting Go,Pamela Morsi,2003,Mira Books
1551667193,311 Pelican Court,Debbie Macomber,2003,Mira Books
044021422X,Jewels,Danielle Steel,1993,Dell
1551668777,So Wild A Heart,Candace Camp,2002,Mira
1551666758,The Perfect Lie,Dinah Mccall,2003,Mira
1551668831,Orphan,Stella Cameron,2002,Mira
1573221112,The Art of Happiness: A Handbook for Living,Dalai Lama,1998,Penguin Putnam
037322687X,Premeditated Marriage,B.J. Daniels,2002,Harlequin
055326611X,EVEN COWGIRLS GET THE BLUES,TOM ROBBINS,1984,Bantam
044651974X,Strange Highways,Dean R. Koontz,1995,Warner Books
155166898X,"Wade (Blake, Jennifer, Louisiana Gentlemen Series.)",Jennifer Blake,2002,Mira
044021596X,Heartbreaker,KAREN ROBARDS,1998,Dell
051508901X,The Gamble,LaVyrle Spencer,1994,Jove Books
038089968X,Chain Letter (Avon Camelot Books (Paperback)),Christopher Pike,1986,Avon
006017613X,"Nora, Nora: A Novel",Anne Rivers Siddons,2000,HarperCollins Publishers
1551668696,Courage Tree,Diane Chamberlain,2002,Mira
067974388X,The Tightwad Gazette: Promoting Thrift As a Viable Alternative Lifestyle,Amy Dacyczyn,1993,Random House Inc
042514898X,Hangman's Root,Susan Wittig Albert,1995,Berkley Publishing Group
1580621805,Small Miracles of Love &amp; Friendship: Remarkable Coincidences of Warmth and Devotion,Yitta Halberstam,1999,Adams Media Corporation
1551669072,Desperate Measures (Barbara Holloway Novels (Paperback)),Kate Wilhelm,2002,Mira
1551669293,204 Rosewood Lane,Debbie Macomber,2002,Mira
068816112X,Replay,Ken Grimwood,1998,Perennial
1875989218,He Died with a Felafel in His Hand,John Birmingham,2000,Duffy &amp; Snellgrove
1861976127,"Eats, Shoots and Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Profile Books Ltd
014034019X,The BFG,Roald Dahl,1985,Puffin Books
055334949X,Even Cowgirls Get the Blues,Tom Robbins,1990,Bantam
3596150655,Generation Golf. Eine Inspektion,Florian Illies,2002,Distribooks
034543448X,Demolition Angel,Robert Crais,2001,Ballantine Books
1551668300,16 Lighthouse Road,Debbie Macomber,2001,Mira
084394952X,Dark Legend,Christine Feehan,2002,Leisure Books
2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
155166917X,At The Corner Of Love And Heartache,Curtiss Ann Matlock,2002,Mira
038531695X,The Ghost,Danielle Steel,1997,Dell
060961004X,Eat Cake : A Novel,JEANNE RAY,2003,Shaye Areheart Books
031224262X,The Unexpected Guest,Charles Osborne,1999,St. Martin's Press
037570731X,The Ladies' Man,ELINOR LIPMAN,2000,Vintage Books
3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
038081790X,Born in Sin: A MacAllisters Novel,Kinley MacGregor,2003,Avon
1551665107,Jane Doe,R.J. Kaiser,1999,Mira
3442453305,Herr Lehmann.,Sven Regener,2003,Goldmann
067972267X,A Pale View of Hills (Vintage International),Kazuo Ishiguro,1990,Vintage Books USA
050552354X,Dark Desire (Paranormal Romance),Christine Feehan,1999,Love Spell
1580050751,Cunt: A Declaration of Independence (Live Girls Series),Inga Muscio,2002,Seal Press (WA)
1551667940,Bone Cold,Erica Spindler,2001,Mira
1578561256,Bad Girls of the Bible and What We Can Learn from Them,Liz Curtis Higgs,1999,Waterbrook Press
1551667363,The Snow Bride,Debbie Macomber,2003,Mira
3453007867,Friedhof der Kuscheltiere. Roman.,Stephen King,1988,Heyne
014200023X,A Heart of Stone,Renate Dorrestein,2002,Penguin Books
038000321X,Alive : The Story of the Andes Survivors (Avon Nonfiction),Piers Paul Read,1975,Avon
015668568X,"Old Possum's Book of Practical Cats, Illustrated Edition",T.S. Eliot,1982,Harvest Books
185326086X,Dracula (Wordsworth Classics),B. Stoker,1997,NTC/Contemporary Publishing Company
059048348X,"It Came from Beneath the Sink! (Goosebumps, No 30)",R. L. Stine,1995,Scholastic
059049449X,"The Werewolf of Fever Swamp (Goosebumps, No 14)",R. L. Stine,1995,Scholastic
1551666510,The Harbor,Carla Neggers,2003,Mira
1551665700,Whiskey Island,Emilie Richards,2000,Mira
034536743X,The 158-Pound Marriage,John Irving,1994,Ballantine Books
1551660253,Thrill Of Victory,Sandra Brown,1995,Mira
3492238696,Balzac und die kleine chinesische Schneiderin.,Dai Sijie,2003,Piper
3499226375,Mondscheintarif,Ildiko Von Kurthy,2001,Rowohlt Taschenbuch Verlag GmbH
1551668769,With A Southern Touch,Diana Palmer,2002,Mira
045120915X,Rain Fall,Barry Eisler,2003,Signet Book
1558531564,"Live and Learn and Pass It on: People Ages 5 to 95 Share What They'Ve Discovered About Life, Love, and Other Good Stuff (Live &amp; Learn &amp; Pass It on)",H. Jackson Brown,1992,Thomas Nelson
3462028189,Crazy,Benjamin Lebert,2000,"Kiepenheuer &amp; Witsch GmbH &amp; Co. KG, Verlag"
1881273156,The Five Love Languages: Five Love Languages,Gary Chapman,2005,Moody Publishers
1558745726,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul (Hardcover Health Communications)),Jack Canfield,1998,Health Communications
1551665336,Moon Over Water,Debbie Macomber,1999,Mira
042515999X,The Solitaire Mystery,Jostein Gaarder,1997,Berkley Publishing Group
155166738X,The Highlander,Elaine Coffman,2003,Mira Books
3423117370,Fool on the Hill. Roman.,Matt Ruff,1993,Dtv
1575668807,Maggie Needs an Alibi,Kasey Michaels,2003,Kensington Publishing Corporation
051513175X,The Descent,Jeff Long,2001,Jove Books
1401351964,Bergdorf Blondes : A Novel,Plum Sykes,2004,Miramax
1551661586,Witchcraft,Jayne Ann Krentz,1996,Mira
088396631X,"The One World, One Heart: Everyone Has the Same Basic Needs and Emotions. We Must Put Aside Our Differences and Come Together as One in Peace, U",Susan Polis Schutz,2001,Blue Mountain Arts
074340341X,A Season in the Highlands,Jude Deveraux,2000,Pocket
067973709X,Mating,Norman Rush,1992,Vintage Books USA
067172519X,RAISE THE TITANIC (Clive Cussler),Clive Cussler,1990,Pocket
3596101859,Ich wollte Hosen.,Lara Cardella,1990,"Fischer (Tb.), Frankfurt"
038071972X,Return to Howliday Inn,James Howe,1993,HarperTrophy
055380247X,Fatal Tide,IRIS JOHANSEN,2003,Bantam
044661257X,If Looks Could Kill,Kate White,2003,Warner Vision
044020447X,Final Flight,Stephen Coonts,1989,Dell
1551668866,Twilight Hunger,Maggie Shayne,2002,Mira Books
1551669099,The Stone Forest,Karen Harper,2002,Mira
084395048X,Lair of the Lion,Christine Feehan,2002,Leisure Books
1551664933,Plucking The Apple,Elizabeth Palmer,1999,Mira
1583224912,Sent by Earth: A Message from the Grandmother Spirit After the Bombing of the World Trade Center and the Pentagon,Alice Walker,2001,Seven Stories Press
039454689X,The Accidental Tourist,Anne Tyler,1985,Random House Inc
1896860982,Falling Backwards,James Eke,2002,Ekstasis Editions
1551666022,"Dakota Home (Dakota Trilogy, Book 2)",Debbie Macomber,2000,Mira
074341232X,Jinxed,Carol Higgins Clark,2003,Pocket Star
006015957X,Roseanne: My Life As a Woman,Roseanne,1989,Harpercollins
1551668726,Death Qualified (Barbara Holloway Novels (Paperback)),Kate Wilhelm,2002,Mira
1551669609,All Fall Down,Erica Spindler,2002,Mira
058351149X,Worst Fears,Fay Weldon,0,Flamingo
1853260258,The Odyssey,Homer,1998,NTC/Contemporary Publishing Company
3442760003,Liebesleben,Zeruya Shalev,2002,Distribooks
1551664275,Led Astray,Sandra Brown,1998,Mira
1551660598,Without A Trace,Nora Roberts,1996,Mira
051511605X,Undue Influence,Steven Paul Martini,1995,Jove Books
3596247500,Ein Mann fÃ?Â¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
044023512X,City of Light,Lauren Belfer,2000,Island
055327211X,Daughter of the Empire,RAYMOND FEIST,1988,Bantam
2290302155,Debout les morts,Fred Vargas,2000,J'ai lu
2253057843,Le Joueur d'Ã?Â©checs,Stefan Zweig,1991,LGF
074322454X,"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,2001,Simon &amp; Schuster
039914207X,Chromosome 6,Robin Cook,1997,Putnam Publishing Group
3442433495,Der Campus.,Dietrich Schwanitz,1996,Goldmann
1551660342,Tomorrow'S Promise,Kenneth T. Brown,1994,Mira
1566400201,Dreams of Childhood: Postcard Book,Pomegranate Publishers,1992,Pomegranate Communications
089471838X,Natural California: A Postcard Book,Not Applicable (Na ),1990,Running Pr
038000741X,Monkey Wrench Gang,Edward Abbey,1976,Avon
067169863X,"Sassinak (Planet Pirates, Vol 1)",Anne McCaffrey,1990,Baen
067168972X,The Duchess,Jude Deveraux,1992,Pocket
1551667223,Flamingo Diner,Sherryl Woods,2003,Mira
067100400X,Courting Susannah,Linda Lael Miller,2000,Pocket
1551669390,Dark Water (Mira Romantic Suspense),Sharon Sala,2002,Mira
055329802X,"Champions of the Force (Star Wars: The Jedi Academy Trilogy, Vol. 3)",Kevin J. Anderson,1994,Bantam
1551664976,Cause For Alarm,Erica Spindler,1999,Mira
1551668815,Fulfillment,Barbara Delinsky,2002,Mira
1573227978,The Beach,Alex Garland,2000,Riverhead Books
1853262102,Age of Innocence (Wordsworth Classics),Edith Wharton,1997,NTC/Contemporary Publishing Company
034544325X,The Day Trader,Stephen W. Frey,2003,Ballantine Books
006008460X,Cheaper by the Dozen (Perennial Classics),Frank B. Gilbreth,2002,Perennial
067173976X,Counterfeit Lady,Jude Deveraux,1991,Pocket
039914112X,The Rapture of Canaan (Oprah's Book Club (Hardcover)),Sheri Reynolds,1996,Putnam Pub Group
1853260088,Moby Dick (Wordsworth Classics),Herman Melville,1999,NTC/Contemporary Publishing Company
1853260134,Tales of Mystery and Imagination (Classics Library (NTC)),Edgar Allan Poe,1999,NTC/Contemporary Publishing Company
044900256X,Bodyguard,SUZANNE BROCKMANN,1999,Fawcett
1853260436,Northanger Abbey (Wordsworth Collection),Jane Austen,1998,Wordsworth Editions Ltd
1551669005,Parting Gifts,Charlotte Allen,2002,Mira
354860028X,Regenroman.,Karen Duve,2001,Ullstein Buchverlage GmbH &amp; Co.KG / Ullstein Tasc
014011369X,"And the Band Played on: Politics, People, and the AIDS Epidemic",Randy Shilts,1995,Penguin Books
067178546X,Blue Gold : A Novel from the NUMA Files,Clive Cussler,2000,Pocket
038049163X,A Woman of Substance,Barbara Taylor Bradford,1980,Harper Mass Market Paperbacks
014013168X,The Buddha of Suburbia,Hanif Kureishi,1991,Penguin Books
158234082X,Kitchen Confidential : Adventures in the Culinary Underbelly,Anthony Bourdain,2000,Bloomsbury USA
1860492592,Alias Grace,Margaret Atwood,0,Virago Press Limited
006109207X,Everything to Gain,Barbara Taylor Bradford,1995,HarperTorch
1551669471,Trouble Becomes Her,Laura Van Wormer,2002,Mira
3250600555,Monsieur Ibrahim und die Blumen des Koran. ErzÃ?Â¤hlung.,Eric-Emmanuel Schmitt,2002,Ammann
068486424X,"YESTERDAY, I CRIED : Celebrating the Lessons of Living and Loving",Iyanla Vanzant,1999,Simon &amp; Schuster
1400033543,You Shall Know Our Velocity,DAVE EGGERS,2003,Vintage
3518381768,Das Geisterhaus. Roman.,Isabel Allende,1989,Suhrkamp
3442092981,Felidae. Roman.,Akif Pirincci,1989,Goldmann
038081904X,Abandon Ship!,Richard F. Newcomb,2001,HarperTorch
1551669315,The Third Wife,Jasmine Cresswell,2002,Mira
1579546463,"The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss",Arthur Agatston,2003,Rodale Books
140003339X,McSweeney's Mammoth Treasury of Thrilling Tales (Vintage Contemporaries Original),Michael Chabon,2003,Vintage Books USA
088038266X,"War of the Twins (DragonLance Legends, Vol 2)",Margaret Weis,1986,TSR
051509160X,Hummingbird,Lavyrle Spencer,1994,Jove Books
1573221856,High Maintenance,Jennifer Belle,2001,Riverhead Hardcover
067102731X,Every Dead Thing,John Connolly,2000,Pocket
067081458X,The Eyes of the Dragon,Stephen King,1987,Viking Books
1551667517,Forbidden Fruit (Mira),Erica Spindler,2003,Mira
051512947X,Once upon a Dream,Nora Roberts,2000,Jove Books
055380250X,"The Taking (Koontz, Dean)",Dean Koontz,2004,Bantam
082175758X,Vegas Heat,Fern Michaels,1997,Zebra Books
044017158X,Random Winds,Belva Plain,0,Bantam Doubleday Dell
1551666588,With Malice,Rachel Lee,2003,Mira Books
044651506X,Plum Island,Nelson DeMille,1997,Warner Books
067173783X,The Lion's Lady,Julie Garwood,1991,Pocket
042513329X,The Seventh Commandment,Lawrence Sanders,1994,Berkley Publishing Group
1551667908,Carriage House,Carla Neggers,2001,Mira
037387216X,Promise Forever,Marta Perry,2003,Steeple Hill
039914496X,Certain Prey,John Sandford,1999,Putnam Publishing Group
044100069X,Deerskin,Robin McKinley,1994,Ace Books
067173685X,REMEMBER ME (REMEMBER ME),Christopher Pike,1990,Simon Pulse
067179938X,Son of the Morning,Linda Howard,1997,Pocket
1853260398,A Tale of Two Cities (Wordsworth Classics),Charles Dickens,1997,NTC/Contemporary Publishing Company
1560252758,The Gangs of New York: An Informal History of the Underworld,Herbert Asbury,2001,Thunder's Mouth Press
185326024X,David Copperfield (Wordsworth Classics),Charles Dickens,1997,NTC/Contemporary Publishing Company
067187120X,SEE I TOLD YOU SO,"Rush H., III Limbaugh",1993,Zondervan
044100007X,Damia's Children,Anne McCaffrey,1996,ACE Charter
184195425X,Life of Pi,Yann Martel,2004,Pub Group West
067179566X,"Nightshade (Star Trek The Next Generation, No 24)",Laurell K. Hamilton,1992,Star Trek
006019443X,"The Sinister Pig (Hillerman, Tony)",Tony Hillerman,2003,HarperCollins
038056176X,Congo -Canc,Michael Crichton,1981,Avon Books
3458171703,Der Schatten des Windes.,Carlos Ruiz Zafon,2003,"Insel, Frankfurt"
1551668009,Always Dakota,Debbie Macomber,2001,Mira
155166819X,Clay,Jennifer Blake,2001,Mira
1551668939,Scandalous Miss Howard (Mira Historical Romance),Nan Ryan,2002,Mira
3426614960,Die weiÃ?Â?e Massai.,Corinne Hofmann,2000,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
055329024X,Earth,David Brin,1991,Spectra Books
1880418568,"Wolves of the Calla (The Dark Tower, Book 5)",Stephen King,2003,Donald M. Grant/Scribner
067103992X,Wicked Forest (Debeers),V.C. Andrews,2002,Pocket
038080719X,Sugarplum Dead : A Death on Demand Mystery (Death on Demand Mysteries (Paperback)),Carolyn Hart,2001,Avon
044022442X,Lord of the Vampires: The Diaries of the Family Dracul (Diaries of the Family Darcul),Jeanne Kalogridis,1997,Dell
067155302X,Harvest,Tess Gerritsen,1997,Pocket
155166948X,Prince Joe,Suzanne Brockmann,2002,Mira
1551666537,Through My Eyes,Barbara Delinsky,2003,Mira
074324642X,Flirting with Pete : A Novel,Barbara Delinsky,2003,Scribner
1853260169,Sense and Sensibility (Wordsworth Classics),Jane Austen,1997,NTC/Contemporary Publishing Company
038076296X,Fowl Prey (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,1999,Avon
055305340X,A Brief History of Time : From the Big Bang to Black Holes,Stephen W. Hawking,1988,Bantam
1551666669,About Adam,Stella Cameron,2003,Mira Books
1551667118,On The Edge: 3 Novels in 1,Heather Graham,2003,Mira
006017773X,The Fallen Man,Tony Hillerman,1996,HarperCollins
1551665824,Waterfall,Carla Neggers,2000,Mira
1400077354,The House of Sand and Fog (Vintage Contemporaries (Paperback)),ANDRE III DUBUS,2003,Vintage
1551669625,Shocking Pink,Erica Spindler,2002,Mira
067187750X,The Fire Rose,Mercedes Lackey,1996,Baen
039914868X,The Short Forever,Stuart Woods,2002,Putnam Adult
078686818X,Trading Up,Candace Bushnell,2003,Hyperion
3442444365,Das Haus der Schwestern.,Charlotte Link,1999,Goldmann
1551668017,Firebrand (Mira Historical Romance),Susan Wiggs,2001,Mira
3442452643,Bridget Jones. Am Rande des Wahnsinns.,Helen Fielding,2002,Goldmann
045121157X,Monkeewrench,P. J. Tracy,2004,Signet Book
1560974273,Ghost World,Daniel Clowes,2001,Fantagraphics Books
3822860867,"Millennium Art (Postcard book, 30 detachable postcards)",Taschen America,2001,Taschen
2266023039,La Nuit des temps,RenÃ?Â© Barjavel,1988,Pocket
068803036X,The Cider House Rules,John Irving,1985,Harpercollins Childrens Books
1551669552,Along Came Trouble,Sherryl Woods,2002,Mira
080411787X,Acts of Love,JUDITH MICHAEL,1997,Ivy Books
014062063X,Dracula (Penguin Popular Classics),Bram Stoker,1994,Penguin Books Ltd
3442414199,Generation X. Geschichten fÃ?Â¼r eine immer schneller werdende Kultur.,Douglas Coupland,1994,Goldmann
067153288X,A Tangled Web,Judith Michael,1995,Pocket
849550152X,El lÃ¡piz del carpintero,Manuel Rivas,2001,Punto de Lectura
1551669250,West Of Bliss,Suzann Ledbetter,2002,Mira
1551665352,Remember Me,Sharon Sala,1999,Mira
1551667126,Dead Ringer,Jasmine Cresswell,2003,Mira Books
